aircraft_id,aircraft_type,manufacture_year,status
OH-A100,A350,2015,Active
OH-A101,A320,2019,Active
OH-A102,E190,2019,Active
OH-A103,A350,2014,Active
OH-A104,A321,2021,Active
OH-A105,E190,2014,Active
OH-A106,A350,2021,Active
OH-A107,A350,2013,Active
OH-A108,A321,2020,Active
OH-A109,A320,2020,Active
OH-A110,A320,2020,Active
OH-A111,E190,2019,Active
OH-A112,A350,2017,Active
OH-A113,A350,2020,Active
OH-A114,A320,2015,Active
OH-A115,A321,2020,Active
OH-A116,A320,2018,Active
OH-A117,A321,2017,Active
OH-A118,A350,2018,Active
OH-A119,A350,2018,Active
OH-A120,A350,2013,Active
OH-A121,A320,2014,Active
OH-A122,E190,2015,Active
OH-A123,E190,2014,Active
OH-A124,A350,2017,Active
OH-A125,A321,2019,Active
OH-A126,A320,2019,Active
OH-A127,A321,2017,Maintenance
OH-A128,A321,2021,Active
OH-A129,A350,2018,Active
OH-A130,A350,2013,Active
OH-A131,E190,2020,Maintenance
OH-A132,A321,2018,Active
OH-A133,A320,2019,Active
OH-A134,A320,2018,Active
OH-A135,A321,2018,Active
OH-A136,A321,2013,Active
OH-A137,A320,2018,Active
OH-A138,A321,2020,Active
OH-A139,A350,2016,Active
OH-A140,A320,2019,Active
OH-A141,A350,2013,Active
OH-A142,A350,2016,Active
OH-A143,A321,2017,Active
OH-A144,A350,2022,Active
OH-A145,A350,2015,Active
OH-A146,A320,2015,Active
OH-A147,A321,2017,Active
