flight_id,flight_date,origin,destination,aircraft_id,aircraft_type,scheduled_departure,scheduled_duration_min,delay_reason,departure_delay_min,cancelled,passengers
FL000001,2025-01-01,HEL,BCN,OH-A138,A321,2025-01-01 10:05:00,143,None,0,False,202
FL000002,2025-01-01,HEL,CPH,OH-A129,A350,2025-01-01 10:00:00,384,Ground Handling,9,False,166
FL000003,2025-01-01,HEL,MAD,OH-A103,A350,2025-01-01 09:41:00,92,None,0,False,228
FL000004,2025-01-01,HEL,BCN,OH-A107,A350,2025-01-01 14:13:00,373,None,0,False,226
FL000005,2025-01-01,HEL,CPH,OH-A126,A320,2025-01-01 19:26:00,344,None,0,False,130
FL000006,2025-01-01,HEL,FCO,OH-A100,A350,2025-01-01 14:13:00,560,None,0,False,181
FL000007,2025-01-01,HEL,AMS,OH-A131,E190,2025-01-01 07:01:00,431,None,0,False,67
FL000008,2025-01-01,HEL,JFK,OH-A145,A350,2025-01-01 10:27:00,486,ATC,5,False,177
FL000009,2025-01-01,HEL,ARN,OH-A106,A350,2025-01-01 14:17:00,364,Crew,55,False,213
FL000010,2025-01-01,HEL,OSL,OH-A109,A320,2025-01-01 15:47:00,592,None,0,False,118
FL000011,2025-01-01,HEL,FRA,OH-A147,A321,2025-01-01 08:04:00,583,None,0,False,129
FL000012,2025-01-01,HEL,OSL,OH-A146,A320,2025-01-01 07:34:00,615,Weather,38,False,166
FL000013,2025-01-01,HEL,CDG,OH-A105,E190,2025-01-01 12:58:00,343,Technical,24,False,69
FL000014,2025-01-01,HEL,MAD,OH-A142,A350,2025-01-01 17:31:00,99,None,0,False,263
FL000015,2025-01-01,HEL,OSL,OH-A145,A350,2025-01-01 05:32:00,183,Crew,30,False,179
FL000016,2025-01-01,HEL,MAD,OH-A117,A321,2025-01-01 17:14:00,389,None,0,False,197
FL000017,2025-01-01,HEL,CPH,OH-A147,A321,2025-01-01 10:26:00,492,None,0,False,207
FL000018,2025-01-01,HEL,OSL,OH-A144,A350,2025-01-01 07:57:00,53,None,0,False,194
FL000019,2025-01-01,HEL,BCN,OH-A146,A320,2025-01-01 10:02:00,115,Weather,5,False,135
FL000020,2025-01-02,HEL,JFK,OH-A101,A320,2025-01-02 14:26:00,388,None,0,False,152
FL000021,2025-01-02,HEL,ARN,OH-A106,A350,2025-01-02 12:07:00,475,Ground Handling,81,False,262
FL000022,2025-01-02,HEL,FCO,OH-A138,A321,2025-01-02 12:56:00,293,Technical,42,False,141
FL000023,2025-01-02,HEL,CPH,OH-A139,A350,2025-01-02 18:32:00,189,None,0,False,266
FL000024,2025-01-02,HEL,FCO,OH-A129,A350,2025-01-02 19:45:00,581,None,0,False,179
FL000025,2025-01-02,HEL,JFK,OH-A117,A321,2025-01-02 12:14:00,577,None,0,False,140
FL000026,2025-01-02,HEL,CPH,OH-A121,A320,2025-01-02 09:12:00,350,None,0,False,162
FL000027,2025-01-02,HEL,FRA,OH-A139,A350,2025-01-02 06:47:00,596,None,0,False,211
FL000028,2025-01-02,HEL,CPH,OH-A107,A350,2025-01-02 19:01:00,155,None,0,False,286
FL000029,2025-01-02,HEL,MUC,OH-A144,A350,2025-01-02 07:48:00,389,None,0,False,224
FL000030,2025-01-02,HEL,NRT,OH-A105,E190,2025-01-02 05:21:00,355,None,0,False,93
FL000031,2025-01-02,HEL,CPH,OH-A102,E190,2025-01-02 15:02:00,291,Weather,38,False,100
FL000032,2025-01-02,HEL,AMS,OH-A124,A350,2025-01-02 19:52:00,468,Crew,42,False,283
FL000033,2025-01-02,HEL,BKK,OH-A111,E190,2025-01-02 09:14:00,176,None,0,False,67
FL000034,2025-01-02,HEL,CDG,OH-A102,E190,2025-01-02 11:21:00,49,None,0,False,59
FL000035,2025-01-02,HEL,CPH,OH-A140,A320,2025-01-02 05:53:00,106,ATC,5,False,159
FL000036,2025-01-02,HEL,FRA,OH-A143,A321,2025-01-02 21:39:00,182,Technical,41,False,173
FL000037,2025-01-02,HEL,MUC,OH-A137,A320,2025-01-02 07:17:00,469,None,0,False,172
FL000038,2025-01-02,HEL,MAD,OH-A141,A350,2025-01-02 12:52:00,524,None,0,False,196
FL000039,2025-01-02,HEL,CDG,OH-A112,A350,2025-01-02 07:22:00,80,None,0,False,244
FL000040,2025-01-02,HEL,BKK,OH-A111,E190,2025-01-02 11:14:00,239,None,0,False,74
FL000041,2025-01-02,HEL,MUC,OH-A118,A350,2025-01-02 16:39:00,150,None,0,False,253
FL000042,2025-01-02,HEL,CDG,OH-A143,A321,2025-01-02 13:10:00,536,None,0,False,206
FL000043,2025-01-02,HEL,BKK,OH-A140,A320,2025-01-02 16:05:00,326,Technical,27,False,100
FL000044,2025-01-02,HEL,NRT,OH-A113,A350,2025-01-02 17:29:00,146,None,0,False,230
FL000045,2025-01-02,HEL,FRA,OH-A141,A350,2025-01-02 07:14:00,573,None,0,False,246
FL000046,2025-01-03,HEL,BCN,OH-A129,A350,2025-01-03 07:54:00,141,None,0,False,227
FL000047,2025-01-03,HEL,CPH,OH-A122,E190,2025-01-03 13:53:00,435,Technical,45,False,65
FL000048,2025-01-03,HEL,MUC,OH-A128,A321,2025-01-03 20:49:00,125,None,0,False,183
FL000049,2025-01-03,HEL,BKK,OH-A104,A321,2025-01-03 16:11:00,325,None,0,False,133
FL000050,2025-01-03,HEL,FCO,OH-A132,A321,2025-01-03 10:40:00,465,ATC,40,False,190
FL000051,2025-01-03,HEL,CPH,OH-A117,A321,2025-01-03 10:20:00,351,None,0,False,122
FL000052,2025-01-03,HEL,BKK,OH-A144,A350,2025-01-03 12:26:00,364,None,0,False,186
FL000053,2025-01-03,HEL,BKK,OH-A126,A320,2025-01-03 20:54:00,590,Technical,56,False,147
FL000054,2025-01-03,HEL,OSL,OH-A147,A321,2025-01-03 17:12:00,47,Ground Handling,48,False,198
FL000055,2025-01-03,HEL,JFK,OH-A130,A350,2025-01-03 07:04:00,115,None,0,False,236
FL000056,2025-01-03,HEL,AMS,OH-A100,A350,2025-01-03 12:43:00,100,Crew,5,False,205
FL000057,2025-01-03,HEL,BCN,OH-A121,A320,2025-01-03 10:07:00,51,ATC,41,False,126
