event_id,flight_id,event_type,severity,reported_at,resolved_hours
EV200000,FL002727,Delay,Medium,2025-12-26 12:19:00,2.7
EV200001,FL002004,Delay,Critical,2025-03-23 14:26:00,2.4
EV200002,FL004015,Baggage Issue,High,2025-11-22 08:26:00,10.0
EV200003,FL000396,Delay,High,2025-03-17 10:50:00,10.1
EV200004,FL003700,Delay,High,2025-09-24 15:03:00,3.0
EV200005,FL005941,Crew Issue,Low,2025-11-10 18:48:00,1.4
EV200006,FL001589,Delay,Medium,2025-09-21 20:01:00,9.1
EV200007,FL006637,Crew Issue,Medium,2025-02-20 16:30:00,3.0
EV200008,FL007017,Cleaning Issue,Low,2025-12-12 10:27:00,3.8
EV200009,FL002875,Delay,Medium,2025-12-20 17:38:00,1.2
EV200010,FL002530,Gate Change,High,2025-08-26 08:18:00,0.8
EV200011,FL007688,Baggage Issue,Low,2025-10-11 14:15:00,4.2
EV200012,FL006712,Gate Change,High,2025-06-07 14:39:00,0.8
EV200013,FL006340,Cleaning Issue,Medium,2025-09-24 09:54:00,3.6
EV200014,FL002770,Delay,Low,2025-12-27 11:39:00,0.7
EV200015,FL003367,Cleaning Issue,Medium,2025-08-13 07:26:00,2.1
EV200016,FL005706,Gate Change,Medium,2025-04-12 12:17:00,3.8
EV200017,FL005913,Delay,Medium,2025-01-16 18:38:00,7.9
EV200018,FL002004,Baggage Issue,Low,2025-09-02 05:25:00,3.3
EV200019,FL000008,Baggage Issue,Low,2025-09-19 17:47:00,1.7
EV200020,FL000462,Delay,Medium,2025-10-19 12:22:00,2.0
EV200021,FL002789,Fuel Issue,Low,2025-05-20 17:33:00,3.0
EV200022,FL003832,Delay,Low,2025-09-26 08:24:00,0.7
EV200023,FL001397,Delay,High,2025-02-15 09:10:00,4.5
EV200024,FL000254,Gate Change,Medium,2025-10-11 12:40:00,1.2
EV200025,FL002508,Crew Issue,High,2025-10-31 21:04:00,2.5
EV200026,FL007161,Baggage Issue,Medium,2025-04-15 12:18:00,0.8
EV200027,FL001717,Baggage Issue,Low,2025-05-03 05:02:00,0.6
EV200028,FL005443,Technical Defect,High,2025-10-30 05:19:00,0.7
EV200029,FL005874,Technical Defect,Medium,2025-08-08 16:04:00,1.6
EV200030,FL005105,Technical Defect,Medium,2025-07-02 08:04:00,3.7
EV200031,FL006810,Delay,Low,2025-02-27 11:40:00,5.6
EV200032,FL002360,Technical Defect,Low,2025-10-23 21:02:00,5.1
EV200033,FL001481,Fuel Issue,Low,2025-02-17 13:25:00,4.6
EV200034,FL001346,Technical Defect,Low,2025-06-07 13:59:00,4.5
