work_order_id,aircraft_id,opened_date,maintenance_type,priority,status,technician_hours,parts_cost_eur,downtime_hours
WO100000,OH-A143,2025-01-12,Scheduled,Low,Closed,2.2,562.86,8.6
WO100001,OH-A141,2025-11-06,Scheduled,High,Closed,2.4,2518.09,5.2
WO100002,OH-A115,2025-04-23,Unscheduled,Low,Closed,6.0,577.84,16.6
WO100003,OH-A109,2025-06-04,Cabin,Low,Closed,3.6,732.01,10.7
WO100004,OH-A120,2025-05-21,Unscheduled,Low,Closed,7.4,1190.65,8.8
WO100005,OH-A144,2025-02-02,Unscheduled,Medium,Closed,4.0,256.97,13.2
WO100006,OH-A146,2025-01-02,Inspection,High,Closed,12.0,66.4,15.6
WO100007,OH-A109,2025-09-23,Component Replacement,Low,Closed,4.8,404.61,13.0
WO100008,OH-A106,2025-09-06,Inspection,High,Closed,5.2,948.58,12.7
WO100009,OH-A135,2025-03-24,Unscheduled,Low,Closed,13.3,3011.82,21.4
WO100010,OH-A142,2025-02-15,Cabin,Medium,Closed,7.0,151.38,11.2
WO100011,OH-A145,2025-07-08,Unscheduled,Low,Closed,7.5,1211.71,4.5
WO100012,OH-A146,2025-01-30,Scheduled,Medium,Closed,5.3,523.75,9.5
WO100013,OH-A113,2025-04-16,Engine,Critical,Closed,6.6,273.47,6.3
WO100014,OH-A138,2025-09-20,Cabin,Medium,Closed,2.9,141.74,20.5
WO100015,OH-A132,2025-03-05,Cabin,Low,Closed,10.7,225.0,6.7
WO100016,OH-A116,2025-10-09,Inspection,Critical,Closed,4.3,715.71,6.8
WO100017,OH-A100,2025-11-19,Engine,Medium,Closed,2.6,1370.27,7.7
WO100018,OH-A131,2025-03-09,Scheduled,Medium,Closed,10.7,26.46,10.1
WO100019,OH-A117,2025-08-31,Cabin,High,Closed,8.2,673.49,5.4
WO100020,OH-A113,2025-10-08,Component Replacement,High,Closed,8.8,227.34,5.4
WO100021,OH-A100,2025-07-09,Unscheduled,Medium,Closed,6.2,249.59,4.5
WO100022,OH-A105,2025-04-19,Scheduled,Low,Closed,14.0,611.86,19.3
WO100023,OH-A109,2025-12-25,Component Replacement,Low,In Progress,4.1,2754.79,12.2
WO100024,OH-A105,2025-04-23,Unscheduled,High,Closed,5.9,196.79,7.3
WO100025,OH-A145,2025-04-01,Cabin,Medium,Closed,1.5,366.64,6.0
WO100026,OH-A100,2025-02-14,Engine,High,Closed,0.8,83.47,4.3
WO100027,OH-A118,2025-11-27,Component Replacement,High,Closed,7.1,625.47,6.6
WO100028,OH-A146,2025-03-24,Unscheduled,High,Closed,8.3,202.35,7.3
WO100029,OH-A105,2025-02-18,Component Replacement,Medium,Closed,6.8,1950.91,16.8
WO100030,OH-A131,2025-01-15,Component Replacement,Medium,In Progress,8.3,578.43,4.1
WO100031,OH-A112,2025-04-17,Unscheduled,Low,Closed,10.5,303.92,9.9
WO100032,OH-A115,2025-09-03,Scheduled,Low,Closed,5.8,306.04,11.9
WO100033,OH-A121,2025-09-07,Component Replacement,Medium,Closed,5.1,580.99,5.0
WO100034,OH-A127,2025-11-07,Scheduled,Medium,Closed,3.3,805.2,2.2
WO100035,OH-A136,2025-09-01,Scheduled,Low,In Progress,7.4,125.36,9.6
WO100036,OH-A129,2025-01-18,Scheduled,Medium,Closed,11.3,347.72,4.2
WO100037,OH-A100,2025-11-04,Unscheduled,Medium,Closed,9.2,402.36,10.6
WO100038,OH-A108,2025-04-04,Unscheduled,Medium,Closed,17.3,498.55,9.7
WO100039,OH-A130,2025-12-16,Scheduled,Medium,Closed,6.5,1488.97,14.7
WO100040,OH-A113,2025-05-07,Inspection,Medium,Closed,4.8,96.98,15.4
WO100041,OH-A102,2025-01-07,Cabin,Medium,Closed,5.7,1049.35,2.6
WO100042,OH-A126,2025-05-24,Inspection,Medium,Closed,9.7,580.79,11.9
WO100043,OH-A115,2025-06-14,Inspection,Medium,Closed,8.2,245.23,10.5
WO100044,OH-A140,2025-10-28,Scheduled,Medium,Closed,4.3,903.51,10.3
WO100045,OH-A142,2025-07-21,Unscheduled,Low,Closed,7.2,275.03,15.6
WO100046,OH-A106,2025-01-16,Inspection,High,Closed,4.0,65.87,4.4
WO100047,OH-A137,2025-01-18,Engine,Critical,Closed,8.3,13.02,15.5
WO100048,OH-A141,2025-08-13,Cabin,Low,Closed,1.8,119.53,11.9
WO100049,OH-A130,2025-01-31,Unscheduled,Low,Closed,2.2,234.12,2.2
WO100050,OH-A129,2025-07-14,Scheduled,High,Closed,2.6,479.0,5.8
WO100051,OH-A122,2025-11-24,Component Replacement,Medium,Closed,3.4,733.11,8.6
WO100052,OH-A123,2025-11-03,Cabin,Medium,Closed,7.8,311.67,2.5
WO100053,OH-A103,2025-08-19,Cabin,Medium,Closed,9.6,98.48,11.7
WO100054,OH-A106,2025-04-22,Cabin,High,Closed,6.1,275.75,15.6
WO100055,OH-A132,2025-07-08,Scheduled,Low,Closed,2.6,324.32,13.8
WO100056,OH-A126,2025-02-07,Engine,Medium,Closed,10.8,2292.86,13.0
WO100057,OH-A108,2025-09-27,Scheduled,High,Closed,5.8,704.05,6.2
WO100058,OH-A116,2025-02-17,Scheduled,Low,Closed,12.0,76.98,11.7
WO100059,OH-A131,2025-01-19,Inspection,High,Closed,6.5,294.41,20.9
WO100060,OH-A109,2025-08-19,Scheduled,Critical,Closed,2.0,809.56,3.5
WO100061,OH-A110,2025-07-29,Unscheduled,Medium,In Progress,3.7,411.99,3.1
WO100062,OH-A142,2025-07-19,Scheduled,Medium,Closed,1.8,79.54,4.3
WO100063,OH-A121,2025-06-23,Scheduled,Medium,Closed,1.1,914.52,8.2
WO100064,OH-A122,2025-08-05,Scheduled,Medium,Closed,4.8,580.25,4.1
WO100065,OH-A103,2025-06-10,Inspection,Low,Closed,6.5,344.81,13.2
WO100066,OH-A103,2025-02-20,Unscheduled,Low,Open,12.4,180.12,8.8
WO100067,OH-A131,2025-07-27,Inspection,Low,Closed,7.9,1111.35,8.6
WO100068,OH-A114,2025-01-16,Inspection,Medium,Closed,9.9,65.76,15.6
WO100069,OH-A113,2025-01-24,Scheduled,Medium,Closed,4.4,85.26,2.6
WO100070,OH-A108,2025-07-26,Engine,High,Open,2.6,193.48,10.3
WO100071,OH-A136,2025-09-14,Scheduled,Medium,In Progress,6.5,545.79,10.7
WO100072,OH-A145,2025-01-30,Engine,Medium,Closed,4.4,103.12,18.8
WO100073,OH-A112,2025-05-18,Cabin,Medium,Closed,9.3,233.99,27.8
WO100074,OH-A111,2025-12-06,Cabin,Medium,Closed,4.5,286.76,3.3
WO100075,OH-A137,2025-10-13,Inspection,Medium,Closed,7.9,568.6,6.0
WO100076,OH-A124,2025-10-21,Component Replacement,Low,In Progress,15.4,305.88,1.7
WO100077,OH-A138,2025-08-28,Scheduled,Low,Closed,9.1,307.03,4.0
WO100078,OH-A135,2025-03-07,Cabin,Medium,Closed,12.8,199.18,19.6
WO100079,OH-A138,2025-05-22,Scheduled,Critical,Closed,2.1,1198.74,13.7
WO100080,OH-A107,2025-08-07,Inspection,Critical,In Progress,2.4,780.36,7.2
WO100081,OH-A125,2025-09-01,Unscheduled,Medium,Closed,6.7,752.8,8.1
WO100082,OH-A120,2025-02-18,Component Replacement,Medium,In Progress,9.0,185.3,3.2
WO100083,OH-A141,2025-12-21,Component Replacement,Medium,Closed,7.8,241.63,3.6
WO100084,OH-A131,2025-12-08,Unscheduled,Medium,Closed,3.6,649.63,8.4
WO100085,OH-A135,2025-01-14,Scheduled,Low,Closed,8.7,224.19,5.6
WO100086,OH-A142,2025-08-04,Component Replacement,Low,Closed,7.0,159.73,13.3
WO100087,OH-A133,2025-02-22,Cabin,Low,Closed,4.5,538.46,15.0
WO100088,OH-A131,2025-04-26,Scheduled,Critical,Closed,12.3,109.08,5.9
WO100089,OH-A125,2025-11-20,Component Replacement,Medium,Closed,9.0,327.2,10.7
WO100090,OH-A103,2025-09-06,Unscheduled,Medium,Closed,11.4,984.64,8.1
WO100091,OH-A134,2025-05-09,Unscheduled,High,Closed,6.7,466.51,7.9
WO100092,OH-A115,2025-01-01,Scheduled,Medium,Closed,8.4,141.58,19.2
WO100093,OH-A105,2025-11-02,Component Replacement,Medium,Closed,7.7,647.19,2.8
WO100094,OH-A116,2025-04-16,Scheduled,High,Closed,1.9,221.19,18.8
WO100095,OH-A116,2025-08-10,Engine,Low,Closed,6.1,939.78,14.1
WO100096,OH-A118,2025-03-27,Scheduled,Low,Closed,7.4,671.25,10.3
WO100097,OH-A113,2025-10-16,Inspection,Medium,Closed,10.3,285.11,13.1
WO100098,OH-A145,2025-05-07,Scheduled,Low,Closed,3.6,190.59,7.7
WO100099,OH-A142,2025-09-28,Component Replacement,Medium,In Progress,6.4,172.55,5.7
WO100100,OH-A101,2025-02-01,Scheduled,High,Closed,11.9,5375.82,4.4
WO100101,OH-A123,2025-08-13,Unscheduled,High,Closed,5.3,40.8,14.3
WO100102,OH-A114,2025-12-20,Unscheduled,Medium,Closed,2.2,69.39,9.7
WO100103,OH-A140,2025-06-22,Inspection,Low,Closed,8.9,1214.98,22.8
WO100104,OH-A123,2025-06-20,Inspection,Critical,In Progress,6.7,979.09,13.5
WO100105,OH-A130,2025-09-08,Scheduled,High,Closed,1.8,578.44,10.3
WO100106,OH-A104,2025-11-09,Scheduled,Medium,Closed,5.6,55.04,5.6
WO100107,OH-A134,2025-10-24,Scheduled,High,In Progress,6.3,691.47,6.3
WO100108,OH-A123,2025-01-22,Scheduled,High,Closed,5.3,151.46,5.2
WO100109,OH-A142,2025-04-19,Scheduled,Medium,Closed,6.5,365.47,11.3
WO100110,OH-A105,2025-11-05,Scheduled,Medium,Closed,6.9,606.0,7.6
WO100111,OH-A114,2025-12-22,Inspection,High,Closed,7.2,669.54,5.7
WO100112,OH-A140,2025-08-27,Scheduled,Medium,Closed,5.8,210.46,24.0
WO100113,OH-A111,2025-01-02,Unscheduled,Medium,Closed,9.5,1458.16,16.6
WO100114,OH-A112,2025-09-05,Component Replacement,Critical,Closed,9.3,909.5,8.5
WO100115,OH-A114,2025-12-12,Component Replacement,High,Closed,4.2,154.45,9.1
WO100116,OH-A125,2025-10-22,Inspection,Low,Closed,13.5,249.69,13.9
WO100117,OH-A102,2025-09-22,Scheduled,Medium,Closed,4.0,188.92,7.7
WO100118,OH-A129,2025-07-12,Inspection,High,Closed,7.2,378.94,3.3
WO100119,OH-A138,2025-11-26,Scheduled,Low,Open,7.5,756.86,5.4
WO100120,OH-A114,2025-08-20,Inspection,Low,Closed,2.9,63.39,9.2
